BOROUGH,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,YEAR
BROOKLYN,PROSPECT HEIGHTS,03 THREE FAMILY HOMES,13,925000,2501409,2737209,4300000,2022
BROOKLYN,RED HOOK,01 ONE FAMILY HOMES,6,1125000,2328333,2710000,2950000,2022
BROOKLYN,RED HOOK,02 TWO FAMILY HOMES,12,1050000,1732917,1570000,3050000,2022
BROOKLYN,RED HOOK,03 THREE FAMILY HOMES,4,1190000,1493500,1342000,2100000,2022
BROOKLYN,SEAGATE,01 ONE FAMILY HOMES,14,538000,972000,800000,2340000,2022
BROOKLYN,SEAGATE,02 TWO FAMILY HOMES,17,470000,805941,830000,1275000,2022
BROOKLYN,SEAGATE,03 THREE FAMILY HOMES,1,775000,775000,775000,775000,2022
BROOKLYN,SHEEPSHEAD BAY,01 ONE FAMILY HOMES,80,265000,800633,799500,2200000,2022
BROOKLYN,SHEEPSHEAD BAY,02 TWO FAMILY HOMES,112,545000,1062044,998000,1900000,2022
BROOKLYN,SHEEPSHEAD BAY,03 THREE FAMILY HOMES,25,900050,1320482,1300000,1980000,2022
BROOKLYN,SPRING CREEK,01 ONE FAMILY HOMES,2,535000,562500,562500,590000,2022
BROOKLYN,SUNSET PARK,01 ONE FAMILY HOMES,10,597000,1481700,1262500,2650000,2022
BROOKLYN,SUNSET PARK,02 TWO FAMILY HOMES,133,200000,1437653,1370000,4678880,2022
BROOKLYN,SUNSET PARK,03 THREE FAMILY HOMES,44,275000,1505339,1475000,2725000,2022
BROOKLYN,WILLIAMSBURG-CENTRAL,02 TWO FAMILY HOMES,6,1370000,2141031,1931250,3550000,2022
BROOKLYN,WILLIAMSBURG-CENTRAL,03 THREE FAMILY HOMES,12,560500,1924648,2025000,2829925,2022
BROOKLYN,WILLIAMSBURG-EAST,01 ONE FAMILY HOMES,6,1550000,1909167,1805000,2400000,2022
BROOKLYN,WILLIAMSBURG-EAST,02 TWO FAMILY HOMES,38,235000,2063029,1900000,4800000,2022
BROOKLYN,WILLIAMSBURG-EAST,03 THREE FAMILY HOMES,14,400000,2206500,2300000,3350000,2022
BROOKLYN,WILLIAMSBURG-NORTH,01 ONE FAMILY HOMES,2,3350000,4350000,4350000,5350000,2022
